CVE,Type,Severity,Updated_AOSP_versions,CVE_Classification,bulletin,Updated_Devices
CVE-2018-9412,DoS,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-07-01.txt,
CVE-2018-9421,ID,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-07-01.txt,
CVE-2018-9365,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-07-01.txt,
CVE-2018-9432,EoP,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-07-01.txt,
CVE-2018-9420,ID,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-07-01.txt,
CVE-2018-9419,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-07-01.txt,
CVE-2017-0645,EoP,Moderate,"6.0.1, 7.0, 7.1.1, 7.1.2",Bluetooth,2017-06-01.txt,
CVE-2017-0646,ID,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Bluetooth,2017-06-01.txt,
CVE-2015-8871,RCE,High,"5.0.2, 5.1.1, 6.0, 6.0.1",Libraries,2017-06-01.txt,
CVE-2016-8332,RCE,High,"5.0.2, 5.1.1, 6.0, 6.0.1",Libraries,2017-06-01.txt,
CVE-2016-5131,RCE,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Libraries,2017-06-01.txt,
CVE-2016-4658,RCE,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Libraries,2017-06-01.txt,
CVE-2017-0663,RCE,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Libraries,2017-06-01.txt,
CVE-2017-7376,RCE,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Libraries,2017-06-01.txt,
CVE-2017-5056,RCE,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Libraries,2017-06-01.txt,
CVE-2017-7375,RCE,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Libraries,2017-06-01.txt,
CVE-2017-0647,ID,Moderate,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Libraries,2017-06-01.txt,
CVE-2016-1839,DoS,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Libraries,2017-06-01.txt,
CVE-2017-0637,RCE,Critical,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-06-01.txt,
CVE-2017-0391,DoS,High,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-06-01.txt,
CVE-2017-0640,DoS,High,"6.0, 6.0.1, 7.0, 7.1.1",Media framework,2017-06-01.txt,
CVE-2017-0641,DoS,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-06-01.txt,
CVE-2017-0642,DoS,High,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-06-01.txt,
CVE-2017-0643,DoS,High,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1",Media framework,2017-06-01.txt,
CVE-2017-0644,DoS,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1",Media framework,2017-06-01.txt,
CVE-2017-0638,RCE,High,"7.1.1, 7.1.2",System UI,2017-06-01.txt,
CVE-2018-9466,RCE,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",Android Runtime,2018-09-01.txt,
CVE-2018-9467,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Android Runtime,2018-09-01.txt,
CVE-2018-9469,EoP,High,"7.1.1, 7.1.2, 8.0, 8.1, 9",Framework,2018-09-01.txt,
CVE-2018-9470,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Framework,2018-09-01.txt,
CVE-2018-9471,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Framework,2018-09-01.txt,
CVE-2018-9472,RCE,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",Library,2018-09-01.txt,
CVE-2018-9474,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Media Framework,2018-09-01.txt,
CVE-2018-9440,DoS,Moderate,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Media Framework,2018-09-01.txt,
CVE-2018-9475,EoP,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-09-01.txt,
CVE-2018-9478,EoP,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-09-01.txt,
CVE-2018-9479,EoP,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-09-01.txt,
CVE-2018-9456,DoS,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-09-01.txt,
CVE-2018-9477,EoP,High,"8.0, 8.1",System,2018-09-01.txt,
CVE-2018-9480,ID,High,"8.0, 8.1, 9",System,2018-09-01.txt,
CVE-2018-9481,ID,High,"8.0, 8.1, 9",System,2018-09-01.txt,
CVE-2018-9482,ID,High,"8.0, 8.1, 9",System,2018-09-01.txt,
CVE-2018-9483,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-09-01.txt,
CVE-2018-9484,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-09-01.txt,
CVE-2018-9485,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-09-01.txt,
CVE-2018-9486,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-09-01.txt,
CVE-2018-9487,DoS,High,"8.0, 8.1, 9",System,2018-09-01.txt,
CVE-2018-9488,EoP,Moderate,"8.0, 8.1, 9",System,2018-09-01.txt,
CVE-2017-0712,EoP,Moderate,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Framework,2017-08-01.txt,
CVE-2017-0713,RCE,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Libraries,2017-08-01.txt,
CVE-2017-0714,RCE,Critical,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0715,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0716,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0718,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0719,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0720,RCE,Critical,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0721,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0722,RCE,Critical,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0723,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0745,RCE,Critical,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0724,DoS,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0725,DoS,High,"7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0726,DoS,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0727,EoP,High,"7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0728,DoS,High,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0729,EoP,High,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0730,DoS,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0731,EoP,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0732,EoP,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0733,DoS,High,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0734,DoS,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0735,DoS,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0736,DoS,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0687,DoS,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0737,EoP,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0805,EoP,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0738,ID,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-0739,ID,Moderate,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-08-01.txt,
CVE-2017-13309,ID,High,8.1,Android runtime,2018-05-01.txt,
CVE-2017-13310,EoP,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Framework,2018-05-01.txt,
CVE-2017-13311,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",Framework,2018-05-01.txt,
CVE-2017-13312,EoP,High,8.0,Media framework,2018-05-01.txt,
CVE-2017-13313,DoS,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-05-01.txt,
CVE-2017-13314,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-05-01.txt,
CVE-2017-13315,EoP,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-05-01.txt,
CVE-2015-3864,N/A,Critical, 5.1 and below,Remote Code Execution Vulnerability in Mediaserver,2015-09-01.txt,
CVE-2015-3636 ,N/A,Critical,5.1 and below,Elevation Privilege Vulnerability in Kernel,2015-09-01.txt,
CVE-2015-3845,N/A,High,5.1 and below,Elevation of Privilege Vulnerability in Binder ,2015-09-01.txt,
CVE-2015-1528,N/A,High,5.1 and below,Elevation of Privilege Vulnerability in Binder ,2015-09-01.txt,
CVE-2015-3863,N/A,High,5.1 and below,Elevation of Privilege Vulnerability in Keystore,2015-09-01.txt,
CVE-2015-3849,N/A,High,5.1 and below,Elevation of Privilege Vulnerability in Region ,2015-09-01.txt,
CVE-2015-3858,N/A,High,5.1 and below,Elevation of Privilege vulnerability in SMS enables notification bypass ,2015-09-01.txt,
CVE-2015-3860,N/A,Moderate,5.1 and 5.0,Elevation of Privilege Vulnerability in Lockscreen,2015-09-01.txt,
CVE-2015-3861,N/A,Low,5.1 and below,Denial of Service Vulnerability in Mediaserver,2015-09-01.txt,
CVE-2018-20346,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Framework,2019-03-01.txt,
CVE-2019-1985,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0",Framework,2019-03-01.txt,
CVE-2019-2003,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Framework,2019-03-01.txt,
CVE-2019-2004,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Framework,2019-03-01.txt,
CVE-2019-2005,EoP,Moderate,"8.0, 8.1, 9",Framework,2019-03-01.txt,
CVE-2019-1989,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Media framework,2019-03-01.txt,
CVE-2019-1990,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Media framework,2019-03-01.txt,
CVE-2019-2006,EoP,High,9,Media framework,2019-03-01.txt,
CVE-2019-2007,EoP,High,"8.1, 9",Media framework,2019-03-01.txt,
CVE-2019-2008,EoP,High,"8.0, 8.1, 9",Media framework,2019-03-01.txt,
CVE-2019-2009,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-03-01.txt,
CVE-2019-2010,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-03-01.txt,
CVE-2019-2011,EoP,High,"8.0, 8.1, 9",System,2019-03-01.txt,
CVE-2019-2012,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-03-01.txt,
CVE-2019-2013,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-03-01.txt,
CVE-2019-2014,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-03-01.txt,
CVE-2019-2015,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-03-01.txt,
CVE-2019-2016,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-03-01.txt,
CVE-2019-2017,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-03-01.txt,
CVE-2019-2018,EoP,High,"8.1, 9",System,2019-03-01.txt,
CVE-2018-9561,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-03-01.txt,
CVE-2018-9563,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-03-01.txt,
CVE-2018-9564,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-03-01.txt,
CVE-2019-2019,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-03-01.txt,
CVE-2019-2020,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-03-01.txt,
CVE-2019-2021,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-03-01.txt,
CVE-2019-2022,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-03-01.txt,
CVE-2016-0801,N/A,Critical,"4.4.4, 5.0, 5.1.1, 6.0, 6.0.1",Mitigations,2016-02-01.txt,
CVE-2016-0802,N/A,Critical,"4.4.4, 5.0, 5.1.1, 6.0, 6.0.1",Mitigations,2016-02-01.txt,
CVE-2016-0803,N/A,Critical,"4.4.4, 5.0, 5.1.1, 6.0, 6.0.1",Acknowledgements,2016-02-01.txt,
CVE-2016-0804,N/A,Critical,"5.0, 5.1.1, 6.0, 6.0.1",Acknowledgements,2016-02-01.txt,
CVE-2016-0805,N/A,Critical,"4.4.4, 5.0, 5.1.1, 6.0, 6.0.1",Remote Code Execution Vulnerability in Broadcom Wi-Fi Driver,2016-02-01.txt,
CVE-2016-0806,N/A,Critical,"4.4.4, 5.0, 5.1.1, 6.0, 6.0.1",Remote Code Execution Vulnerability in Mediaserver,2016-02-01.txt,
CVE-2016-0807,N/A,Critical,6.0 and 6.0.1,Elevation of Privilege Vulnerability in Qualcomm Performance Module,2016-02-01.txt,
CVE-2016-0808,N/A,High,"5.0, 5.1.1, 6.0, 6.0.1",Elevation of Privilege Vulnerability in Qualcomm Wi-Fi Driver,2016-02-01.txt,
CVE-2016-0809,N/A,High,"6.0, 6.0.1",Elevation of Privilege Vulnerability in the Debuggerd ,2016-02-01.txt,
CVE-2016-0810,N/A,High,"4.4.4, 5.0, 5.1.1, 6.0, 6.0.1",Denial of Service Vulnerability in Minikin,2016-02-01.txt,
CVE-2016-0811,N/A,High,"6.0, 6.0.1",Elevation of Privilege Vulnerability in Wi-Fi,2016-02-01.txt,
CVE-2016-0812,N/A,Moderate,"5.1.1, 6.0",Elevation of Privilege Vulnerability in Mediaserver ,2016-02-01.txt,
CVE-2016-0813,N/A,Moderate,"5.1.1, 6.0, 6.0.1",Elevation of Privilege Vulnerability in Mediaserver ,2016-02-01.txt,
CVE-2019-2192,EoP,High,"9, 10",Framework,2019-11-01.txt,
CVE-2019-2193,EoP,High,"8.0, 8.1, 9, 10",Framework,2019-11-01.txt,
CVE-2019-2195,EoP,High,"8.0, 8.1, 9, 10",Framework,2019-11-01.txt,
CVE-2019-2199,EoP,High,10,Framework,2019-11-01.txt,
CVE-2019-2211,ID,High,"8.0, 8.1, 9, 10",Framework,2019-11-01.txt,
CVE-2019-2197,ID,High,"8.0, 8.1, 9, 10",Framework,2019-11-01.txt,
CVE-2019-2201,RCE,High,"8.0, 8.1, 9, 10",Library,2019-11-01.txt,
CVE-2019-2202,EoP,High,"9, 10",Media framework,2019-11-01.txt,
CVE-2019-2203,EoP,High,"8.0, 8.1, 9, 10",Media framework,2019-11-01.txt,
CVE-2019-2204,RCE,Critical,9,System,2019-11-01.txt,
CVE-2019-2205,RCE,Critical,"8.0, 8.1, 9, 10",System,2019-11-01.txt,
CVE-2019-2206,RCE,Critical,"8.0, 8.1, 9, 10",System,2019-11-01.txt,
CVE-2019-2233,EoP,High,10,System,2019-11-01.txt,
CVE-2019-2207,EoP,High,"8.0, 8.1, 9, 10",System,2019-11-01.txt,
CVE-2019-2212,ID,High,"8.0, 8.1, 9, 10",System,2019-11-01.txt,
CVE-2019-2208,ID,High,9,System,2019-11-01.txt,
CVE-2019-2209,ID,High,"8.0, 8.1, 9, 10",System,2019-11-01.txt,
CVE-2019-2196,ID,High,"8.0, 8.1, 9, 10",Google Play system updates,2019-11-01.txt,
CVE-2019-2198,ID,High,"8.0, 8.1, 9, 10",Google Play system updates,2019-11-01.txt,
CVE-2015-6616,N/A,Critical,6.0 and below,Remote Code Execution Vulnerabilities in Mediaserver,2015-12-01.txt,
CVE-2015-6616,N/A,Critical,6.0 and below,Remote Code Execution Vulnerabilities in Mediaserver,2015-12-01.txt,
CVE-2015-6616,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in Mediaserver,2015-12-01.txt,
CVE-2015-6616,N/A,Critical,6.0 and below,Remote Code Execution Vulnerabilities in Mediaserver,2015-12-01.txt,
CVE-2015-6616,N/A,Critical,6.0,Remote Code Execution Vulnerabilities in Mediaserver,2015-12-01.txt,
CVE-2015-6617,N/A,Critical,6.0 and below,Remote Code Execution Vulnerability in Skia,2015-12-01.txt,
CVE-2015-6619,N/A,Critical,6.0 and below,Elevation of Privilege in Kernel,2015-12-01.txt,
CVE-2015-6633,N/A,Critical,6.0 and below,Remote Code Execution Vulnerabilities in Display Driver,2015-12-01.txt,
CVE-2015-6634,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in Display Driver,2015-12-01.txt,
CVE-2015-6618,N/A,High,"4.4, 5.0, and 5.1",Remote Code Execution Vulnerability in Bluetooth,2015-12-01.txt,
CVE-2015-6620,N/A,High,6.0 and below,Elevation of Privilege Vulnerabilities in libstagefright,2015-12-01.txt,
CVE-2015-6620,N/A,High,6.0 and below,Elevation of Privilege Vulnerabilities in libstagefright,2015-12-01.txt,
CVE-2015-6621,N/A,High,"5.0, 5.1, and 6.0",Elevation of Privilege Vulnerability in SystemUI,2015-12-01.txt,
CVE-2015-6622,N/A,High,6.0 and below,Information Disclosure Vulnerability in Native Frameworks Library,2015-12-01.txt,
CVE-2015-6623,N/A,High,6.0,Elevation of Privilege Vulnerability in Wi-Fi,2015-12-01.txt,
CVE-2015-6624,N/A,High,6.0,Elevation of Privilege Vulnerability in System Server,2015-12-01.txt,
CVE-2015-6632,N/A,High,6.0 and below,Information Disclosure Vulnerabilities in libstagefright,2015-12-01.txt,
CVE-2015-6626,N/A,High,6.0 and below,Information Disclosure Vulnerabilities in libstagefright,2015-12-01.txt,
CVE-2015-6631,N/A,High,6.0 and below,Information Disclosure Vulnerabilities in libstagefright,2015-12-01.txt,
CVE-2015-6627,N/A,High,6.0 and below,Information Disclosure Vulnerability in Audio,2015-12-01.txt,
CVE-2015-6628,N/A,High,6.0 and below,Information Disclosure Vulnerability in Media Framework,2015-12-01.txt,
CVE-2015-6629,N/A,High,5.1 and 5.0,Information Disclosure Vulnerability in Wi-Fi,2015-12-01.txt,
CVE-2015-6625,N/A,Moderate,6.0,Elevation of Privilege Vulnerability in System Server,2015-12-01.txt,
CVE-2015-6630,N/A,Moderate,"5.0, 5.1, and 6.0",Information Disclosure Vulnerability in SystemUI,2015-12-01.txt,
CVE-2019-2090,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Framework,2019-06-01.txt,
CVE-2019-2091,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",Framework,2019-06-01.txt,
CVE-2019-2092,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Framework,2019-06-01.txt,
CVE-2019-2093,RCE,Critical,9,Media framework,2019-06-01.txt,
CVE-2019-2094,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Media framework,2019-06-01.txt,
CVE-2019-2095,RCE,Critical,9,Media framework,2019-06-01.txt,
CVE-2019-2096,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Media framework,2019-06-01.txt,
CVE-2019-2097,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-06-01.txt,
CVE-2019-2102,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-06-01.txt,
CVE-2019-2098,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-06-01.txt,
CVE-2019-2099,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-06-01.txt,
CVE-2018-9547,EoP,High,"8.1, 9",Framework,2018-12-01.txt,
CVE-2018-9548,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Framework,2018-12-01.txt,
CVE-2018-9549,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Media framework,2018-12-01.txt,
CVE-2018-9550,RCE,Critical,9,Media framework,2018-12-01.txt,
CVE-2018-9551,RCE,Critical,9,Media framework,2018-12-01.txt,
CVE-2018-9552,ID,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Media framework,2018-12-01.txt,
CVE-2018-9553,RCE,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Media framework,2018-12-01.txt,
CVE-2018-9538,EoP,High,"8.1, 9",Media framework,2018-12-01.txt,
CVE-2018-9554,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-12-01.txt,
CVE-2018-9555,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-12-01.txt,
CVE-2018-9556,RCE,Critical,9,System,2018-12-01.txt,
CVE-2018-9557,EoP,High,"7.0, 7.1.1, 7.1.2",System,2018-12-01.txt,
CVE-2018-9558,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-12-01.txt,
CVE-2018-9559,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-12-01.txt,
CVE-2018-9560,EoP,High,9,System,2018-12-01.txt,
CVE-2018-9562,ID,High,9,System,2018-12-01.txt,
CVE-2018-9566,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-12-01.txt,
CVE-2019-9290,N/A,EoP,N/A,Android runtime,android-10.txt,
CVE-2019-9429,N/A,EoP,N/A,Android runtime,android-10.txt,
CVE-2019-9262,N/A,RCE,N/A,Framework,android-10.txt,
CVE-2019-9256,N/A,RCE,N/A,Framework,android-10.txt,
CVE-2019-9280,N/A,EoP,N/A,Framework,android-10.txt,
CVE-2019-9288,N/A,EoP,N/A,Framework,android-10.txt,
CVE-2019-9384,N/A,EoP,N/A,Framework,android-10.txt,
CVE-2019-9269,N/A,EoP,N/A,Framework,android-10.txt,
CVE-2019-9374,N/A,EoP,N/A,Framework,android-10.txt,
CVE-2019-9378,N/A,EoP,N/A,Framework,android-10.txt,
CVE-2019-9380,N/A,EoP,N/A,Framework,android-10.txt,
CVE-2019-9407,N/A,EoP,N/A,Framework,android-10.txt,
CVE-2019-9351,N/A,ID,N/A,Framework,android-10.txt,
CVE-2019-9281,N/A,ID,N/A,Framework,android-10.txt,
CVE-2019-9377,N/A,ID,N/A,Framework,android-10.txt,
CVE-2019-9292,N/A,ID,N/A,Framework,android-10.txt,
CVE-2019-9424,N/A,ID,N/A,Framework,android-10.txt,
CVE-2019-9399,N/A,ID,N/A,Framework,android-10.txt,
CVE-2019-9421,N/A,ID,N/A,Framework,android-10.txt,
CVE-2019-9428,N/A,ID,N/A,Framework,android-10.txt,
CVE-2019-9323,N/A,ID,N/A,Framework,android-10.txt,
CVE-2019-9438,N/A,ID,N/A,Framework,android-10.txt,
CVE-2019-9373,N/A,DoS,N/A,Framework,android-10.txt,
CVE-2019-9376,N/A,DoS,N/A,Framework,android-10.txt,
CVE-2019-9372,N/A,DoS,N/A,Framework,android-10.txt,
CVE-2019-9423,N/A,EoP,N/A,Library,android-10.txt,
CVE-2019-9459,N/A,EoP,N/A,Library,android-10.txt,
CVE-2019-9297,N/A,RCE,N/A,Media framework,android-10.txt,
CVE-2019-9298,N/A,RCE,N/A,Media framework,android-10.txt,
CVE-2019-9299,N/A,RCE,N/A,Media framework,android-10.txt,
CVE-2019-9300,N/A,RCE,N/A,Media framework,android-10.txt,
CVE-2019-9301,N/A,RCE,N/A,Media framework,android-10.txt,
CVE-2019-9302,N/A,RCE,N/A,Media framework,android-10.txt,
CVE-2019-9303,N/A,RCE,N/A,Media framework,android-10.txt,
CVE-2019-9304,N/A,RCE,N/A,Media framework,android-10.txt,
CVE-2019-9305,N/A,RCE,N/A,Media framework,android-10.txt,
CVE-2019-9306,N/A,RCE,N/A,Media framework,android-10.txt,
CVE-2019-9307,N/A,RCE,N/A,Media framework,android-10.txt,
CVE-2019-9308,N/A,RCE,N/A,Media framework,android-10.txt,
CVE-2019-9346,N/A,RCE,N/A,Media framework,android-10.txt,
CVE-2019-9357,N/A,RCE,N/A,Media framework,android-10.txt,
CVE-2019-9382,N/A,RCE,N/A,Media framework,android-10.txt,
CVE-2019-9405,N/A,RCE,N/A,Media framework,android-10.txt,
CVE-2019-9278,N/A,RCE,N/A,Media framework,android-10.txt,
CVE-2019-9310,N/A,EoP,N/A,Media framework,android-10.txt,
CVE-2019-9232,N/A,ID,N/A,Media framework,android-10.txt,
